"Statistic Label","Year","Type of Ownership","Region","UNIT","VALUE"
"Total Cost of Services Sourced in Ireland","2009","All Enterprise ownership","West","Euro Million","494"
"Total Cost of Services Sourced in Ireland","2009","All Enterprise ownership","Mid West","Euro Million","783"
"Total Cost of Services Sourced in Ireland","2009","All Enterprise ownership","South East","Euro Million","508"
"Total Cost of Services Sourced in Ireland","2009","All Enterprise ownership","South West","Euro Million","1419"
"Total Cost of Services Sourced in Ireland","2009","All Enterprise ownership","Dublin","Euro Million","3587"
"Total Cost of Services Sourced in Ireland","2009","All Enterprise ownership","Mid East","Euro Million","827"
"Total Cost of Services Sourced in Ireland","2009","All Enterprise ownership","Midlands","Euro Million","411"
"Total Cost of Services Sourced in Ireland","2009","Irish ownership","Ireland","Euro Million","3823"
"Total Cost of Services Sourced in Ireland","2009","Irish ownership","Border","Euro Million","291"
"Total Cost of Services Sourced in Ireland","2009","Irish ownership","West","Euro Million","235"
"Total Cost of Services Sourced in Ireland","2009","Irish ownership","Mid West","Euro Million","259"
"Total Cost of Services Sourced in Ireland","2009","Irish ownership","South East","Euro Million","339"
"Total Cost of Services Sourced in Ireland","2009","Irish ownership","South West","Euro Million","463"
"Total Cost of Services Sourced in Ireland","2009","Irish ownership","Dublin","Euro Million","1597"
"Total Cost of Services Sourced in Ireland","2009","Irish ownership","Mid East","Euro Million","371"
"Total Cost of Services Sourced in Ireland","2009","Irish ownership","Midlands","Euro Million","267"
"Total Cost of Services Sourced in Ireland","2009","Foreign ownership","Ireland","Euro Million","4622"
"Total Cost of Services Sourced in Ireland","2009","Foreign ownership","Border","Euro Million","123"
"Total Cost of Services Sourced in Ireland","2009","Foreign ownership","West","Euro Million","258"
"Total Cost of Services Sourced in Ireland","2009","Foreign ownership","Mid West","Euro Million","524"
"Total Cost of Services Sourced in Ireland","2009","Foreign ownership","South East","Euro Million","169"
"Total Cost of Services Sourced in Ireland","2009","Foreign ownership","South West","Euro Million","956"
"Total Cost of Services Sourced in Ireland","2009","Foreign ownership","Dublin","Euro Million","1990"
"Total Cost of Services Sourced in Ireland","2009","Foreign ownership","Mid East","Euro Million","456"
"Total Cost of Services Sourced in Ireland","2009","Foreign ownership","Midlands","Euro Million","144"
"Total Cost of Services Sourced in Ireland","2010","All Enterprise ownership","Ireland","Euro Million","8140"
"Total Cost of Services Sourced in Ireland","2010","All Enterprise ownership","Border","Euro Million","421"
"Total Cost of Services Sourced in Ireland","2010","All Enterprise ownership","West","Euro Million","431"
"Total Cost of Services Sourced in Ireland","2010","All Enterprise ownership","Mid West","Euro Million","714"
"Total Cost of Services Sourced in Ireland","2010","All Enterprise ownership","South East","Euro Million","529"
"Total Cost of Services Sourced in Ireland","2010","All Enterprise ownership","South West","Euro Million","1532"
"Total Cost of Services Sourced in Ireland","2010","All Enterprise ownership","Dublin","Euro Million","3509"
"Total Cost of Services Sourced in Ireland","2010","All Enterprise ownership","Mid East","Euro Million","693"
"Total Cost of Services Sourced in Ireland","2010","All Enterprise ownership","Midlands","Euro Million","310"
"Total Cost of Services Sourced in Ireland","2010","Irish ownership","Ireland","Euro Million","3381"
"Total Cost of Services Sourced in Ireland","2010","Irish ownership","Border","Euro Million","293"
"Total Cost of Services Sourced in Ireland","2010","Irish ownership","West","Euro Million","166"
"Total Cost of Services Sourced in Ireland","2010","Irish ownership","Mid West","Euro Million","228"
"Total Cost of Services Sourced in Ireland","2010","Irish ownership","South East","Euro Million","350"
"Total Cost of Services Sourced in Ireland","2010","Irish ownership","South West","Euro Million","417"
"Total Cost of Services Sourced in Ireland","2010","Irish ownership","Dublin","Euro Million","1379"
"Total Cost of Services Sourced in Ireland","2010","Irish ownership","Mid East","Euro Million","347"
"Total Cost of Services Sourced in Ireland","2010","Irish ownership","Midlands","Euro Million","203"
"Total Cost of Services Sourced in Ireland","2010","Foreign ownership","Ireland","Euro Million","4758"
"Total Cost of Services Sourced in Ireland","2010","Foreign ownership","Border","Euro Million","128"
"Total Cost of Services Sourced in Ireland","2010","Foreign ownership","West","Euro Million","265"
"Total Cost of Services Sourced in Ireland","2010","Foreign ownership","Mid West","Euro Million","486"
"Total Cost of Services Sourced in Ireland","2010","Foreign ownership","South East","Euro Million","179"
"Total Cost of Services Sourced in Ireland","2010","Foreign ownership","South West","Euro Million","1116"
"Total Cost of Services Sourced in Ireland","2010","Foreign ownership","Dublin","Euro Million","2130"
"Total Cost of Services Sourced in Ireland","2010","Foreign ownership","Mid East","Euro Million","347"
"Total Cost of Services Sourced in Ireland","2010","Foreign ownership","Midlands","Euro Million","107"
"Total Cost of Services Sourced in Ireland","2011","All Enterprise ownership","Ireland","Euro Million","8416"
"Total Cost of Services Sourced in Ireland","2011","All Enterprise ownership","Border","Euro Million","476"
"Total Cost of Services Sourced in Ireland","2011","All Enterprise ownership","West","Euro Million","467"
"Total Cost of Services Sourced in Ireland","2011","All Enterprise ownership","Mid West","Euro Million","648"
"Total Cost of Services Sourced in Ireland","2011","All Enterprise ownership","South East","Euro Million","600"
"Total Cost of Services Sourced in Ireland","2011","All Enterprise ownership","South West","Euro Million","1560"
"Total Cost of Services Sourced in Ireland","2011","All Enterprise ownership","Dublin","Euro Million","3575"
"Total Cost of Services Sourced in Ireland","2011","All Enterprise ownership","Mid East","Euro Million","776"
"Total Cost of Services Sourced in Ireland","2011","All Enterprise ownership","Midlands","Euro Million","314"
"Total Cost of Services Sourced in Ireland","2011","Irish ownership","Ireland","Euro Million","3338"
"Total Cost of Services Sourced in Ireland","2011","Irish ownership","Border","Euro Million","321"
"Total Cost of Services Sourced in Ireland","2011","Irish ownership","West","Euro Million","189"
"Total Cost of Services Sourced in Ireland","2011","Irish ownership","Mid West","Euro Million","190"
"Total Cost of Services Sourced in Ireland","2011","Irish ownership","South East","Euro Million","399"
"Total Cost of Services Sourced in Ireland","2011","Irish ownership","South West","Euro Million","445"
"Total Cost of Services Sourced in Ireland","2011","Irish ownership","Dublin","Euro Million","1193"
"Total Cost of Services Sourced in Ireland","2011","Irish ownership","Mid East","Euro Million","398"
"Total Cost of Services Sourced in Ireland","2011","Irish ownership","Midlands","Euro Million","204"
"Total Cost of Services Sourced in Ireland","2011","Foreign ownership","Ireland","Euro Million","5078"
"Total Cost of Services Sourced in Ireland","2011","Foreign ownership","Border","Euro Million","155"
"Total Cost of Services Sourced in Ireland","2011","Foreign ownership","West","Euro Million","278"
"Total Cost of Services Sourced in Ireland","2011","Foreign ownership","Mid West","Euro Million","458"
"Total Cost of Services Sourced in Ireland","2011","Foreign ownership","South East","Euro Million","201"
"Total Cost of Services Sourced in Ireland","2011","Foreign ownership","South West","Euro Million","1114"
"Total Cost of Services Sourced in Ireland","2011","Foreign ownership","Dublin","Euro Million","2383"
"Total Cost of Services Sourced in Ireland","2011","Foreign ownership","Mid East","Euro Million","378"
"Total Cost of Services Sourced in Ireland","2011","Foreign ownership","Midlands","Euro Million","110"
"Total Cost of Services Sourced in Ireland","2012","All Enterprise ownership","Ireland","Euro Million","8419"
"Total Cost of Services Sourced in Ireland","2012","All Enterprise ownership","Border","Euro Million","466"
"Total Cost of Services Sourced in Ireland","2012","All Enterprise ownership","West","Euro Million","502"
"Total Cost of Services Sourced in Ireland","2012","All Enterprise ownership","Mid West","Euro Million","627"
"Total Cost of Services Sourced in Ireland","2012","All Enterprise ownership","South East","Euro Million","548"
"Total Cost of Services Sourced in Ireland","2012","All Enterprise ownership","South West","Euro Million","1487"
"Total Cost of Services Sourced in Ireland","2012","All Enterprise ownership","Dublin","Euro Million","3628"
"Total Cost of Services Sourced in Ireland","2012","All Enterprise ownership","Mid East","Euro Million","877"
"Total Cost of Services Sourced in Ireland","2012","All Enterprise ownership","Midlands","Euro Million","284"
"Total Cost of Services Sourced in Ireland","2012","Irish ownership","Ireland","Euro Million","3413"
"Total Cost of Services Sourced in Ireland","2012","Irish ownership","Border","Euro Million","327"
"Total Cost of Services Sourced in Ireland","2012","Irish ownership","West","Euro Million","219"
"Total Cost of Services Sourced in Ireland","2012","Irish ownership","Mid West","Euro Million","206"
"Total Cost of Services Sourced in Ireland","2012","Irish ownership","South East","Euro Million","335"
"Total Cost of Services Sourced in Ireland","2012","Irish ownership","South West","Euro Million","497"
"Total Cost of Services Sourced in Ireland","2012","Irish ownership","Dublin","Euro Million","1197"
"Total Cost of Services Sourced in Ireland","2012","Irish ownership","Mid East","Euro Million","440"
"Total Cost of Services Sourced in Ireland","2012","Irish ownership","Midlands","Euro Million","192"
"Total Cost of Services Sourced in Ireland","2012","Foreign ownership","Ireland","Euro Million","5006"
"Total Cost of Services Sourced in Ireland","2012","Foreign ownership","Border","Euro Million","139"
"Total Cost of Services Sourced in Ireland","2012","Foreign ownership","West","Euro Million","283"
"Total Cost of Services Sourced in Ireland","2012","Foreign ownership","Mid West","Euro Million","421"
"Total Cost of Services Sourced in Ireland","2012","Foreign ownership","South East","Euro Million","212"
"Total Cost of Services Sourced in Ireland","2012","Foreign ownership","South West","Euro Million","990"
"Total Cost of Services Sourced in Ireland","2012","Foreign ownership","Dublin","Euro Million","2431"
"Total Cost of Services Sourced in Ireland","2012","Foreign ownership","Mid East","Euro Million","438"
"Total Cost of Services Sourced in Ireland","2012","Foreign ownership","Midlands","Euro Million","92"
"Total Cost of Services Sourced in Ireland","2013","All Enterprise ownership","Ireland","Euro Million","8911"
"Total Cost of Services Sourced in Ireland","2013","All Enterprise ownership","Border","Euro Million","468"
"Total Cost of Services Sourced in Ireland","2013","All Enterprise ownership","West","Euro Million","558"
"Total Cost of Services Sourced in Ireland","2013","All Enterprise ownership","Mid West","Euro Million","630"
"Total Cost of Services Sourced in Ireland","2013","All Enterprise ownership","South East","Euro Million","577"
"Total Cost of Services Sourced in Ireland","2013","All Enterprise ownership","South West","Euro Million","1608"
"Total Cost of Services Sourced in Ireland","2013","All Enterprise ownership","Dublin","Euro Million","3832"
"Total Cost of Services Sourced in Ireland","2013","All Enterprise ownership","Mid East","Euro Million","937"
"Total Cost of Services Sourced in Ireland","2013","All Enterprise ownership","Midlands","Euro Million","301"
"Total Cost of Services Sourced in Ireland","2013","Irish ownership","Ireland","Euro Million","3595"
"Total Cost of Services Sourced in Ireland","2013","Irish ownership","Border","Euro Million","315"
"Total Cost of Services Sourced in Ireland","2013","Irish ownership","West","Euro Million","252"
"Total Cost of Services Sourced in Ireland","2013","Irish ownership","Mid West","Euro Million","212"
"Total Cost of Services Sourced in Ireland","2013","Irish ownership","South East","Euro Million","339"
"Total Cost of Services Sourced in Ireland","2013","Irish ownership","South West","Euro Million","581"
"Total Cost of Services Sourced in Ireland","2013","Irish ownership","Dublin","Euro Million","1234"
"Total Cost of Services Sourced in Ireland","2013","Irish ownership","Mid East","Euro Million","454"
"Total Cost of Services Sourced in Ireland","2013","Irish ownership","Midlands","Euro Million","206"
"Total Cost of Services Sourced in Ireland","2013","Foreign ownership","Ireland","Euro Million","5316"
"Total Cost of Services Sourced in Ireland","2013","Foreign ownership","Border","Euro Million","152"
"Total Cost of Services Sourced in Ireland","2013","Foreign ownership","West","Euro Million","306"
"Total Cost of Services Sourced in Ireland","2013","Foreign ownership","Mid West","Euro Million","417"
"Total Cost of Services Sourced in Ireland","2013","Foreign ownership","South East","Euro Million","238"
"Total Cost of Services Sourced in Ireland","2013","Foreign ownership","South West","Euro Million","1027"
"Total Cost of Services Sourced in Ireland","2013","Foreign ownership","Dublin","Euro Million","2598"
"Total Cost of Services Sourced in Ireland","2013","Foreign ownership","Mid East","Euro Million","483"
"Total Cost of Services Sourced in Ireland","2013","Foreign ownership","Midlands","Euro Million","95"
"Total Cost of Services Sourced in Ireland","2014","All Enterprise ownership","Ireland","Euro Million","9348"
"Total Cost of Services Sourced in Ireland","2014","All Enterprise ownership","Border","Euro Million","483"
"Total Cost of Services Sourced in Ireland","2014","All Enterprise ownership","West","Euro Million","609"
"Total Cost of Services Sourced in Ireland","2014","All Enterprise ownership","Mid West","Euro Million","608"
"Total Cost of Services Sourced in Ireland","2014","All Enterprise ownership","South East","Euro Million","621"
"Total Cost of Services Sourced in Ireland","2014","All Enterprise ownership","South West","Euro Million","1552"
"Total Cost of Services Sourced in Ireland","2014","All Enterprise ownership","Dublin","Euro Million","4184"
"Total Cost of Services Sourced in Ireland","2014","All Enterprise ownership","Mid East","Euro Million","958"
"Total Cost of Services Sourced in Ireland","2014","All Enterprise ownership","Midlands","Euro Million","334"
"Total Cost of Services Sourced in Ireland","2014","Irish ownership","Ireland","Euro Million","4002"
"Total Cost of Services Sourced in Ireland","2014","Irish ownership","Border","Euro Million","339"
"Total Cost of Services Sourced in Ireland","2014","Irish ownership","West","Euro Million","254"
"Total Cost of Services Sourced in Ireland","2014","Irish ownership","Mid West","Euro Million","226"
"Total Cost of Services Sourced in Ireland","2014","Irish ownership","South East","Euro Million","393"
"Total Cost of Services Sourced in Ireland","2014","Irish ownership","South West","Euro Million","640"
"Total Cost of Services Sourced in Ireland","2014","Irish ownership","Dublin","Euro Million","1393"
"Total Cost of Services Sourced in Ireland","2014","Irish ownership","Mid East","Euro Million","516"
"Total Cost of Services Sourced in Ireland","2014","Irish ownership","Midlands","Euro Million","242"
"Total Cost of Services Sourced in Ireland","2014","Foreign ownership","Ireland","Euro Million","5346"
"Total Cost of Services Sourced in Ireland","2014","Foreign ownership","Border","Euro Million","144"
"Total Cost of Services Sourced in Ireland","2014","Foreign ownership","West","Euro Million","355"
"Total Cost of Services Sourced in Ireland","2014","Foreign ownership","Mid West","Euro Million","382"
"Total Cost of Services Sourced in Ireland","2014","Foreign ownership","South East","Euro Million","228"
"Total Cost of Services Sourced in Ireland","2014","Foreign ownership","South West","Euro Million","912"
"Total Cost of Services Sourced in Ireland","2014","Foreign ownership","Dublin","Euro Million","2791"
"Total Cost of Services Sourced in Ireland","2014","Foreign ownership","Mid East","Euro Million","442"
"Total Cost of Services Sourced in Ireland","2014","Foreign ownership","Midlands","Euro Million","91"
"Total Cost of Services Sourced in Ireland","2015","All Enterprise ownership","Ireland","Euro Million","9650"
"Total Cost of Services Sourced in Ireland","2015","All Enterprise ownership","Border","Euro Million","533"
"Total Cost of Services Sourced in Ireland","2015","All Enterprise ownership","West","Euro Million","610"
"Total Cost of Services Sourced in Ireland","2015","All Enterprise ownership","Mid West","Euro Million","591"
"Total Cost of Services Sourced in Ireland","2015","All Enterprise ownership","South East","Euro Million","612"
"Total Cost of Services Sourced in Ireland","2015","All Enterprise ownership","South West","Euro Million","1746"
"Total Cost of Services Sourced in Ireland","2015","All Enterprise ownership","Dublin","Euro Million","4154"
"Total Cost of Services Sourced in Ireland","2015","All Enterprise ownership","Mid East","Euro Million","1032"
"Total Cost of Services Sourced in Ireland","2015","All Enterprise ownership","Midlands","Euro Million","373"
"Total Cost of Services Sourced in Ireland","2015","Irish ownership","Ireland","Euro Million","4550"
"Total Cost of Services Sourced in Ireland","2015","Irish ownership","Border","Euro Million","377"
"Total Cost of Services Sourced in Ireland","2015","Irish ownership","West","Euro Million","269"
"Total Cost of Services Sourced in Ireland","2015","Irish ownership","Mid West","Euro Million","227"
"Total Cost of Services Sourced in Ireland","2015","Irish ownership","South East","Euro Million","401"
"Total Cost of Services Sourced in Ireland","2015","Irish ownership","South West","Euro Million","778"
"Total Cost of Services Sourced in Ireland","2015","Irish ownership","Dublin","Euro Million","1649"
"Total Cost of Services Sourced in Ireland","2015","Irish ownership","Mid East","Euro Million","566"
"Total Cost of Services Sourced in Ireland","2015","Irish ownership","Midlands","Euro Million","284"
"Total Cost of Services Sourced in Ireland","2015","Foreign ownership","Ireland","Euro Million","5100"
"Total Cost of Services Sourced in Ireland","2015","Foreign ownership","Border","Euro Million","155"
"Total Cost of Services Sourced in Ireland","2015","Foreign ownership","West","Euro Million","341"
"Total Cost of Services Sourced in Ireland","2015","Foreign ownership","Mid West","Euro Million","364"
"Total Cost of Services Sourced in Ireland","2015","Foreign ownership","South East","Euro Million","211"
"Total Cost of Services Sourced in Ireland","2015","Foreign ownership","South West","Euro Million","968"
"Total Cost of Services Sourced in Ireland","2015","Foreign ownership","Dublin","Euro Million","2506"
"Total Cost of Services Sourced in Ireland","2015","Foreign ownership","Mid East","Euro Million","466"
"Total Cost of Services Sourced in Ireland","2015","Foreign ownership","Midlands","Euro Million","89"
"Total Cost of Services Sourced in Ireland","2016","All Enterprise ownership","Ireland","Euro Million","10165"
"Total Cost of Services Sourced in Ireland","2016","All Enterprise ownership","Border","Euro Million","546"
"Total Cost of Services Sourced in Ireland","2016","All Enterprise ownership","West","Euro Million","633"
"Total Cost of Services Sourced in Ireland","2016","All Enterprise ownership","Mid West","Euro Million","595"
"Total Cost of Services Sourced in Ireland","2016","All Enterprise ownership","South East","Euro Million","653"
"Total Cost of Services Sourced in Ireland","2016","All Enterprise ownership","South West","Euro Million","1745"
"Total Cost of Services Sourced in Ireland","2016","All Enterprise ownership","Dublin","Euro Million","4673"
"Total Cost of Services Sourced in Ireland","2016","All Enterprise ownership","Mid East","Euro Million","914"
"Total Cost of Services Sourced in Ireland","2016","All Enterprise ownership","Midlands","Euro Million","406"
"Total Cost of Services Sourced in Ireland","2016","Irish ownership","Ireland","Euro Million","4790"
"Total Cost of Services Sourced in Ireland","2016","Irish ownership","Border","Euro Million","377"
"Total Cost of Services Sourced in Ireland","2016","Irish ownership","West","Euro Million","284"
"Total Cost of Services Sourced in Ireland","2016","Irish ownership","Mid West","Euro Million","235"
"Total Cost of Services Sourced in Ireland","2016","Irish ownership","South East","Euro Million","395"
"Total Cost of Services Sourced in Ireland","2016","Irish ownership","South West","Euro Million","773"
"Total Cost of Services Sourced in Ireland","2016","Irish ownership","Dublin","Euro Million","1910"
"Total Cost of Services Sourced in Ireland","2016","Irish ownership","Mid East","Euro Million","505"
"Total Cost of Services Sourced in Ireland","2016","Irish ownership","Midlands","Euro Million","310"
"Total Cost of Services Sourced in Ireland","2016","Foreign ownership","Ireland","Euro Million","5375"
"Total Cost of Services Sourced in Ireland","2016","Foreign ownership","Border","Euro Million","168"
"Total Cost of Services Sourced in Ireland","2016","Foreign ownership","West","Euro Million","349"
"Total Cost of Services Sourced in Ireland","2016","Foreign ownership","Mid West","Euro Million","360"
"Total Cost of Services Sourced in Ireland","2016","Foreign ownership","South East","Euro Million","258"
"Total Cost of Services Sourced in Ireland","2016","Foreign ownership","South West","Euro Million","972"
"Total Cost of Services Sourced in Ireland","2016","Foreign ownership","Dublin","Euro Million","2762"
"Total Cost of Services Sourced in Ireland","2016","Foreign ownership","Mid East","Euro Million","409"
"Total Cost of Services Sourced in Ireland","2016","Foreign ownership","Midlands","Euro Million","96"
"Total Cost of Services Sourced in Ireland","2017","All Enterprise ownership","Ireland","Euro Million","11118"
"Total Cost of Services Sourced in Ireland","2017","All Enterprise ownership","Border","Euro Million","614"
"Total Cost of Services Sourced in Ireland","2017","All Enterprise ownership","West","Euro Million","691"
"Total Cost of Services Sourced in Ireland","2017","All Enterprise ownership","Mid West","Euro Million","621"
"Total Cost of Services Sourced in Ireland","2017","All Enterprise ownership","South East","Euro Million","693"
"Total Cost of Services Sourced in Ireland","2017","All Enterprise ownership","South West","Euro Million","1830"
"Total Cost of Services Sourced in Ireland","2017","All Enterprise ownership","Dublin","Euro Million","5263"
"Total Cost of Services Sourced in Ireland","2017","All Enterprise ownership","Mid East","Euro Million","957"
"Total Cost of Services Sourced in Ireland","2017","All Enterprise ownership","Midlands","Euro Million","449"
"Total Cost of Services Sourced in Ireland","2017","Irish ownership","Ireland","Euro Million","5164"
"Total Cost of Services Sourced in Ireland","2017","Irish ownership","Border","Euro Million","390"
"Total Cost of Services Sourced in Ireland","2017","Irish ownership","West","Euro Million","302"
"Total Cost of Services Sourced in Ireland","2017","Irish ownership","Mid West","Euro Million","247"
"Total Cost of Services Sourced in Ireland","2017","Irish ownership","South East","Euro Million","427"
"Total Cost of Services Sourced in Ireland","2017","Irish ownership","South West","Euro Million","875"
"Total Cost of Services Sourced in Ireland","2017","Irish ownership","Dublin","Euro Million","2005"
"Total Cost of Services Sourced in Ireland","2017","Irish ownership","Mid East","Euro Million","581"
"Total Cost of Services Sourced in Ireland","2017","Irish ownership","Midlands","Euro Million","337"
"Total Cost of Services Sourced in Ireland","2017","Foreign ownership","Ireland","Euro Million","5954"
"Total Cost of Services Sourced in Ireland","2017","Foreign ownership","Border","Euro Million","225"
"Total Cost of Services Sourced in Ireland","2017","Foreign ownership","West","Euro Million","389"
"Total Cost of Services Sourced in Ireland","2017","Foreign ownership","Mid West","Euro Million","374"
"Total Cost of Services Sourced in Ireland","2017","Foreign ownership","South East","Euro Million","266"
"Total Cost of Services Sourced in Ireland","2017","Foreign ownership","South West","Euro Million","955"
"Total Cost of Services Sourced in Ireland","2017","Foreign ownership","Dublin","Euro Million","3258"
"Total Cost of Services Sourced in Ireland","2017","Foreign ownership","Mid East","Euro Million","376"
"Total Cost of Services Sourced in Ireland","2017","Foreign ownership","Midlands","Euro Million","112"
"Total Cost of Services Sourced in Ireland","2018","All Enterprise ownership","Ireland","Euro Million","12256"
"Total Cost of Services Sourced in Ireland","2018","All Enterprise ownership","Border","Euro Million","651"
"Total Cost of Services Sourced in Ireland","2018","All Enterprise ownership","West","Euro Million","723"
"Total Cost of Services Sourced in Ireland","2018","All Enterprise ownership","Mid West","Euro Million","619"
"Total Cost of Services Sourced in Ireland","2018","All Enterprise ownership","South East","Euro Million","935"
"Total Cost of Services Sourced in Ireland","2018","All Enterprise ownership","South West","Euro Million","1847"
"Total Cost of Services Sourced in Ireland","2018","All Enterprise ownership","Dublin","Euro Million","6046"
"Total Cost of Services Sourced in Ireland","2018","All Enterprise ownership","Mid East","Euro Million","934"
"Total Cost of Services Sourced in Ireland","2018","All Enterprise ownership","Midlands","Euro Million","502"
"Total Cost of Services Sourced in Ireland","2018","Irish ownership","Ireland","Euro Million","5721"
"Total Cost of Services Sourced in Ireland","2018","Irish ownership","Border","Euro Million","389"
"Total Cost of Services Sourced in Ireland","2018","Irish ownership","West","Euro Million","296"
"Total Cost of Services Sourced in Ireland","2018","Irish ownership","Mid West","Euro Million","292"
"Total Cost of Services Sourced in Ireland","2018","Irish ownership","South East","Euro Million","667"
"Total Cost of Services Sourced in Ireland","2018","Irish ownership","South West","Euro Million","868"
"Total Cost of Services Sourced in Ireland","2018","Irish ownership","Dublin","Euro Million","2208"
"Total Cost of Services Sourced in Ireland","2018","Irish ownership","Mid East","Euro Million","586"
"Total Cost of Services Sourced in Ireland","2018","Irish ownership","Midlands","Euro Million","414"
"Total Cost of Services Sourced in Ireland","2018","Foreign ownership","Ireland","Euro Million","6535"
"Total Cost of Services Sourced in Ireland","2018","Foreign ownership","Border","Euro Million","262"
"Total Cost of Services Sourced in Ireland","2018","Foreign ownership","West","Euro Million","427"
"Total Cost of Services Sourced in Ireland","2018","Foreign ownership","Mid West","Euro Million","326"
"Total Cost of Services Sourced in Ireland","2018","Foreign ownership","South East","Euro Million","269"
"Total Cost of Services Sourced in Ireland","2018","Foreign ownership","South West","Euro Million","978"
"Total Cost of Services Sourced in Ireland","2018","Foreign ownership","Dublin","Euro Million","3838"
"Total Cost of Services Sourced in Ireland","2018","Foreign ownership","Mid East","Euro Million","347"
"Total Cost of Services Sourced in Ireland","2018","Foreign ownership","Midlands","Euro Million","88"
"Total Cost of Services Sourced in Ireland","2019","All Enterprise ownership","Ireland","Euro Million","13951"
"Total Cost of Services Sourced in Ireland","2019","All Enterprise ownership","Border","Euro Million","675"
"Total Cost of Services Sourced in Ireland","2019","All Enterprise ownership","West","Euro Million","827"
"Total Cost of Services Sourced in Ireland","2019","All Enterprise ownership","Mid West","Euro Million","643"
"Total Cost of Services Sourced in Ireland","2019","All Enterprise ownership","South East","Euro Million","829"
"Total Cost of Services Sourced in Ireland","2019","All Enterprise ownership","South West","Euro Million","1947"
"Total Cost of Services Sourced in Ireland","2019","All Enterprise ownership","Dublin","Euro Million","7538"
"Total Cost of Services Sourced in Ireland","2019","All Enterprise ownership","Mid East","Euro Million","946"
"Total Cost of Services Sourced in Ireland","2019","All Enterprise ownership","Midlands","Euro Million","546"
"Total Cost of Services Sourced in Ireland","2019","Irish ownership","Ireland","Euro Million","5799"
"Total Cost of Services Sourced in Ireland","2019","Irish ownership","Border","Euro Million","370"
"Total Cost of Services Sourced in Ireland","2019","Irish ownership","West","Euro Million","297"
"Total Cost of Services Sourced in Ireland","2019","Irish ownership","Mid West","Euro Million","284"
"Total Cost of Services Sourced in Ireland","2019","Irish ownership","South East","Euro Million","541"
"Total Cost of Services Sourced in Ireland","2019","Irish ownership","South West","Euro Million","903"
"Total Cost of Services Sourced in Ireland","2019","Irish ownership","Dublin","Euro Million","2341"
"Total Cost of Services Sourced in Ireland","2019","Irish ownership","Mid East","Euro Million","595"
"Total Cost of Services Sourced in Ireland","2019","Irish ownership","Midlands","Euro Million","466"
"Total Cost of Services Sourced in Ireland","2019","Foreign ownership","Ireland","Euro Million","8152"
"Total Cost of Services Sourced in Ireland","2019","Foreign ownership","Border","Euro Million","305"
"Total Cost of Services Sourced in Ireland","2019","Foreign ownership","West","Euro Million","530"
"Total Cost of Services Sourced in Ireland","2019","Foreign ownership","Mid West","Euro Million","359"
"Total Cost of Services Sourced in Ireland","2019","Foreign ownership","South East","Euro Million","288"
"Total Cost of Services Sourced in Ireland","2019","Foreign ownership","South West","Euro Million","1043"
"Total Cost of Services Sourced in Ireland","2019","Foreign ownership","Dublin","Euro Million","5197"
"Total Cost of Services Sourced in Ireland","2019","Foreign ownership","Mid East","Euro Million","351"
"Total Cost of Services Sourced in Ireland","2019","Foreign ownership","Midlands","Euro Million","80"
"Total Cost of Services Sourced in Ireland","2020","All Enterprise ownership","Ireland","Euro Million","14348"
"Total Cost of Services Sourced in Ireland","2020","All Enterprise ownership","Border","Euro Million","679"
"Total Cost of Services Sourced in Ireland","2020","All Enterprise ownership","West","Euro Million","902"
"Total Cost of Services Sourced in Ireland","2020","All Enterprise ownership","Mid West","Euro Million","649"
"Total Cost of Services Sourced in Ireland","2020","All Enterprise ownership","South East","Euro Million","761"
"Total Cost of Services Sourced in Ireland","2020","All Enterprise ownership","South West","Euro Million","2128"
"Total Cost of Services Sourced in Ireland","2020","All Enterprise ownership","Dublin","Euro Million","7697"
"Total Cost of Services Sourced in Ireland","2020","All Enterprise ownership","Mid East","Euro Million","966"
"Total Cost of Services Sourced in Ireland","2020","All Enterprise ownership","Midlands","Euro Million","566"
"Total Cost of Services Sourced in Ireland","2020","Irish ownership","Ireland","Euro Million","5699"
"Total Cost of Services Sourced in Ireland","2020","Irish ownership","Border","Euro Million","405"
"Total Cost of Services Sourced in Ireland","2020","Irish ownership","West","Euro Million","299"
"Total Cost of Services Sourced in Ireland","2020","Irish ownership","Mid West","Euro Million","274"
"Total Cost of Services Sourced in Ireland","2020","Irish ownership","South East","Euro Million","514"
"Total Cost of Services Sourced in Ireland","2020","Irish ownership","South West","Euro Million","972"
"Total Cost of Services Sourced in Ireland","2020","Irish ownership","Dublin","Euro Million","2141"
"Total Cost of Services Sourced in Ireland","2020","Irish ownership","Mid East","Euro Million","613"
"Total Cost of Services Sourced in Ireland","2020","Irish ownership","Midlands","Euro Million","481"
"Total Cost of Services Sourced in Ireland","2020","Foreign ownership","Ireland","Euro Million","8649"
"Total Cost of Services Sourced in Ireland","2020","Foreign ownership","Border","Euro Million","274"
"Total Cost of Services Sourced in Ireland","2020","Foreign ownership","West","Euro Million","602"
"Total Cost of Services Sourced in Ireland","2020","Foreign ownership","Mid West","Euro Million","376"
"Total Cost of Services Sourced in Ireland","2020","Foreign ownership","South East","Euro Million","247"
"Total Cost of Services Sourced in Ireland","2020","Foreign ownership","South West","Euro Million","1156"
"Total Cost of Services Sourced in Ireland","2020","Foreign ownership","Dublin","Euro Million","5556"
